Trip_ID,City,Country,Region,Latitude,Longitude,Currency,Travel_Date,Duration_Days,No_of_Travelers,Budget_Per_Person_USD,Total_Budget_USD,Travel_Type,Airline,Accommodation_Type,Season,Transport_Mode,Visa_Type,Rating,Trip_Purpose,Distance_KM
TRIP-000001,Dakar,Senegal,Africa,14.7167,-17.4677,XOF,02-04-2019,1,5,2599.94,12999.7,Luxury,Qatar Airways,Homestay,Winter,Flight,Tourist Visa,2,Beach,11073.4
TRIP-000002,Kuala Lumpur,Malaysia,Asia,3.139,101.6869,MYR,10-08-2020,17,10,460.05,4600.5,Luxury,Turkish Airlines,Hostel,Winter,Cruise,Tourist Visa,2.5,Hiking,10768.7
TRIP-000003,Las Vegas,USA,North America,36.1699,-115.1398,USD,28-09-2022,11,5,1723.7,8618.5,Group Tour,Qatar Airways,Resort,Autumn,Cruise,Tourist Visa,3.5,Skiing,1622.9
TRIP-000004,Doha,Qatar,Middle East,25.2854,51.531,QAR,27-05-2019,30,7,972.24,6805.68,Budget,Korean Air,Resort,Summer,Train,Tourist Visa,3,Food Tour,12458.1
TRIP-000005,Tallinn,Estonia,Europe,59.437,24.7536,EUR,31-03-2021,3,4,8691.54,34766.16,Solo,Singapore Airlines,Resort,Autumn,Car Rental,Transit Visa,4,Cultural,4241.8
TRIP-000006,Las Vegas,USA,North America,36.1699,-115.1398,USD,20-10-2018,20,3,5434.57,16303.71,Group Tour,Air France,Camping,Summer,Motorbike,Tourist Visa,2.5,Food Tour,2534.7
TRIP-000007,Dubai,UAE,Middle East,25.2048,55.2708,AED,16-07-2021,13,5,848.65,4243.25,Backpacking,Turkish Airlines,Guest House,Summer,Cruise,Business Visa,3.5,Food Tour,3268.1
TRIP-000008,Krakow,Poland,Europe,50.0647,19.945,PLN,18-04-2024,18,5,7520.74,37603.7,Group Tour,British Airways,Hostel,Summer,Walking Tour,Tourist Visa,4,Sightseeing,13477.6
TRIP-000009,Cape Town,South Africa,Africa,-33.9249,18.4241,ZAR,19-09-2019,21,3,7962.38,23887.14,Group Tour,Turkish Airlines,Homestay,Winter,Cruise,E-Visa,4,Sightseeing,8986.5
TRIP-000010,Miami,USA,North America,25.7617,-80.1918,USD,15-04-2019,22,9,7558.6,68027.4,Group Tour,Singapore Airlines,Guest House,Spring,Cruise,E-Visa,3.5,Hiking,1762.1
TRIP-000011,Karachi,Pakistan,Asia,24.8607,67.0011,PKR,12-03-2019,28,5,8448.36,42241.8,Adventure,British Airways,3-Star Hotel,Spring,Motorbike,Visa Free,5,Sightseeing,9173.7
TRIP-000012,Cape Town,South Africa,Africa,-33.9249,18.4241,ZAR,26-01-2022,29,5,2546.63,12733.15,Leisure,Qatar Airways,Guest House,Spring,Bus,Business Visa,2.5,Skiing,13182.3
TRIP-000013,Muscat,Oman,Middle East,23.588,58.3829,OMR,08-11-2019,9,9,8749.84,78748.56,Luxury,IndiGo,Hostel,Autumn,Bicycle,Transit Visa,4,Shopping,14469
TRIP-000014,Kyoto,Japan,Asia,35.0116,135.7681,JPY,21-10-2023,15,2,2629.48,5258.96,Budget,Cathay Pacific,Hostel,Summer,Flight,Tourist Visa,1.5,Sightseeing,5137.5
TRIP-000015,Maldives,Maldives,Asia,3.2028,73.2207,MVR,04-10-2018,29,1,8624.43,8624.43,Family,United,Guest House,Summer,Bus,Transit Visa,1.5,Photography,7760.9
TRIP-000016,Tbilisi,Georgia,Europe/Asia,41.6938,44.8015,GEL,21-04-2023,8,8,8113.47,64907.76,Group Tour,British Airways,Boutique Hotel,Winter,Walking Tour,Transit Visa,2.5,Sightseeing,1505.5
TRIP-000017,Chicago,USA,North America,41.8781,-87.6298,USD,08-02-2019,2,7,7336.49,51355.43,Honeymoon,Cathay Pacific,Guest House,Summer,Bicycle,Business Visa,1.5,Cultural,3805
TRIP-000018,Jakarta,Indonesia,Asia,-6.2088,106.8456,IDR,20-10-2020,28,2,4542.68,9085.36,Luxury,Thai Airways,5-Star Hotel,Spring,Car Rental,Business Visa,5,Wildlife Safari,1558.8
TRIP-000019,Phnom Penh,Cambodia,Asia,11.5564,104.9282,KHR,26-05-2023,7,7,9043.94,63307.58,Group Tour,Air France,Guest House,Autumn,Bicycle,Transit Visa,2,Diving,5746.7
TRIP-000020,Vancouver,Canada,North America,49.2827,-123.1207,CAD,17-06-2023,5,4,3107.74,12430.96,Luxury,Emirates,Resort,Spring,Flight,E-Visa,1,Skiing,8729.8
TRIP-000021,Karachi,Pakistan,Asia,24.8607,67.0011,PKR,16-12-2023,6,1,9615.63,9615.63,Leisure,Delta,4-Star Hotel,Summer,Bicycle,Tourist Visa,1.5,Photography,12785
TRIP-000022,Venice,Italy,Europe,45.4408,12.3155,EUR,29-06-2024,20,1,6269.94,6269.94,Budget,Cathay Pacific,Resort,Autumn,Car Rental,Transit Visa,4,Shopping,9894.9
TRIP-000023,Santorini,Greece,Europe,36.3932,25.4615,EUR,23-12-2020,13,3,6782.56,20347.68,Leisure,Emirates,Guest House,Spring,Train,E-Visa,3,Food Tour,6912.6
TRIP-000024,Karachi,Pakistan,Asia,24.8607,67.0011,PKR,22-12-2020,5,6,8832.47,52994.82,Adventure,ANA,Camping,Autumn,Flight,Transit Visa,2.5,Diving,5606
TRIP-000025,Dublin,Ireland,Europe,53.3498,-6.2603,EUR,01-03-2019,29,3,2791.77,8375.31,Adventure,Air France,Airbnb,Summer,Motorbike,Business Visa,1.5,Cultural,11162
TRIP-000026,Karachi,Pakistan,Asia,24.8607,67.0011,PKR,25-06-2023,9,1,1104.52,1104.52,Business,Emirates,Resort,Summer,Cruise,Business Visa,4,Skiing,12457.3
TRIP-000027,Muscat,Oman,Middle East,23.588,58.3829,OMR,18-10-2022,18,1,1296.36,1296.36,Solo,Delta,Camping,Summer,Bicycle,Business Visa,2,Sightseeing,8229.3
TRIP-000028,Edinburgh,UK,Europe,55.9533,-3.1883,GBP,02-02-2022,29,1,9009.46,9009.46,Leisure,British Airways,Camping,Winter,Bus,Business Visa,2.5,Hiking,10262.8
TRIP-000029,Athens,Greece,Europe,37.9838,23.7275,EUR,16-08-2022,1,3,7418.33,22254.99,Group Tour,IndiGo,Hostel,Autumn,Bus,Transit Visa,3.5,Beach,11757.6
TRIP-000030,Lima,Peru,South America,-12.0464,-77.0428,PEN,08-06-2018,28,8,2379.85,19038.8,Honeymoon,Lufthansa,5-Star Hotel,Summer,Bicycle,On Arrival,4.5,Cultural,5309.9
TRIP-000031,Amsterdam,Netherlands,Europe,52.3676,4.9041,EUR,17-02-2021,12,9,4116.85,37051.65,Business,Qatar Airways,Airbnb,Summer,Cruise,Tourist Visa,5,Beach,5034.1
TRIP-000032,Accra,Ghana,Africa,5.6037,-0.187,GHS,15-11-2022,12,6,4476.66,26859.96,Budget,Lufthansa,Airbnb,Spring,Bicycle,Tourist Visa,5,Diving,1823.1
TRIP-000033,Doha,Qatar,Middle East,25.2854,51.531,QAR,18-03-2020,12,7,885.74,6200.18,Leisure,Air India,Airbnb,Autumn,Bicycle,On Arrival,3.5,Wildlife Safari,9385
TRIP-000034,Las Vegas,USA,North America,36.1699,-115.1398,USD,26-04-2021,18,3,2080.03,6240.09,Adventure,Delta,Homestay,Autumn,Bicycle,E-Visa,4,Sightseeing,10192
TRIP-000035,Dublin,Ireland,Europe,53.3498,-6.2603,EUR,21-03-2021,7,7,7900.44,55303.08,Backpacking,United,Hostel,Winter,Bus,Transit Visa,3.5,Beach,7028.3
TRIP-000036,Stockholm,Sweden,Europe,59.3293,18.0686,SEK,13-10-2023,22,10,3484.84,34848.4,Honeymoon,IndiGo,Hostel,Summer,Flight,Tourist Visa,2.5,Food Tour,10124.7
TRIP-000037,Hanoi,Vietnam,Asia,21.0285,105.8542,VND,08-11-2024,28,2,4663.08,9326.16,Group Tour,ANA,Boutique Hotel,Summer,Bus,Transit Visa,2.5,Sightseeing,10803.4
TRIP-000038,Dubrovnik,Croatia,Europe,42.6507,18.0944,EUR,13-03-2019,25,7,2344.64,16412.48,Luxury,Lufthansa,4-Star Hotel,Winter,Bus,Visa Free,5,Diving,7021.8
TRIP-000039,Amman,Jordan,Middle East,31.9454,35.9284,JOD,04-09-2024,11,8,6203.99,49631.92,Luxury,ANA,3-Star Hotel,Winter,Walking Tour,On Arrival,5,Food Tour,6458.4
TRIP-000040,Dakar,Senegal,Africa,14.7167,-17.4677,XOF,09-02-2021,25,9,4949.05,44541.45,Leisure,Air India,Airbnb,Summer,Cruise,On Arrival,2.5,Shopping,4191.5
TRIP-000041,Abu Dhabi,UAE,Middle East,24.4539,54.3773,AED,27-11-2018,5,3,2466.36,7399.08,Leisure,Turkish Airlines,Boutique Hotel,Autumn,Walking Tour,Visa Free,2,Sightseeing,10625.6
TRIP-000042,Hong Kong,China,Asia,22.3193,114.1694,HKD,17-09-2022,13,10,9471.41,94714.1,Budget,Turkish Airlines,Guest House,Spring,Motorbike,On Arrival,1,Wildlife Safari,12865.3
